url,domain,consensus_label,category,severity,feature,observed_value,threshold,title,recommendation,explanation
https://jeanleptitplombier.com/,jeanleptitplombier.com,AVERAGE,content,LOW,h1_count,2.0,= 1,Rationaliser les H1,Vérifier la hiérarchie éditoriale et conserver un H1 principal clairement identifiable.,2 balises H1 ont été détectées.
https://jeanleptitplombier.com/,jeanleptitplombier.com,AVERAGE,authority,LOW,external_unique_domain_count,1.0,>= 3,Développer l'écosystème externe,Évaluer les opportunités de visibilité externe et de liens provenant de domaines pertinents et crédibles.,Seulement 1 domaine(s) externe(s) unique(s) ont été détectés dans les liens de la page.
https://jeanleptitplombier.com/,jeanleptitplombier.com,AVERAGE,links,LOW,nofollow_link_count,1.0,context-dependent,Vérifier les liens nofollow,Auditer les liens externes nofollow afin de vérifier qu'ils correspondent réellement à la stratégie de liens du site.,Une part importante des liens semble être marquée nofollow. Ce signal nécessite une vérification contextuelle plutôt qu'une correction automatique.
https://a-un-clic-de-vous.fr/site-vitrine/trelaze/49800,a-un-clic-de-vous.fr,POOR,technical_seo,MEDIUM,meta_description_length,10.0,>= 70,Enrichir la meta description,Développer la meta description pour mieux présenter le contenu et la proposition de valeur.,La meta description contient environ 10 caractères.
https://a-un-clic-de-vous.fr/site-vitrine/trelaze/49800,a-un-clic-de-vous.fr,POOR,technical_seo,MEDIUM,canonical_exists,False,True,Déclarer une URL canonique,Ajouter une balise canonical cohérente lorsque la page peut être accessible via plusieurs URLs.,Aucune URL canonique n'a été détectée.
https://a-un-clic-de-vous.fr/site-vitrine/trelaze/49800,a-un-clic-de-vous.fr,POOR,images,MEDIUM,alt_coverage_ratio,0.059,>= 0.70,Améliorer les attributs ALT,Ajouter des attributs ALT descriptifs aux images pertinentes et éviter les ALT vides lorsqu'ils ne sont pas justifiés.,La couverture ALT est d'environ 5.9%.
https://a-un-clic-de-vous.fr/site-vitrine/trelaze/49800,a-un-clic-de-vous.fr,POOR,images,MEDIUM,images_without_alt,20.0,= 0,Corriger les images sans ALT,Identifier les images importantes sans attribut ALT et leur ajouter un texte alternatif pertinent.,20 image(s) sans ALT ont été détectées.
https://a-un-clic-de-vous.fr/site-vitrine/trelaze/49800,a-un-clic-de-vous.fr,POOR,authority,LOW,external_unique_domain_count,2.0,>= 3,Développer l'écosystème externe,Évaluer les opportunités de visibilité externe et de liens provenant de domaines pertinents et crédibles.,Seulement 2 domaine(s) externe(s) unique(s) ont été détectés dans les liens de la page.
https://a-un-clic-de-vous.fr/site-vitrine/trelaze/49800,a-un-clic-de-vous.fr,POOR,conversion,LOW,"phone_count,email_count","{'phone_count': 0.0, 'email_count': 0.0}",phone >= 1 OR email >= 1,Faciliter le contact,Rendre au moins un moyen de contact identifiable sur les pages où cela est pertinent.,Aucun numéro de téléphone ni adresse email détectable n'a été trouvé.
https://www.arret-net.fr/,www.arret-net.fr,AVERAGE,technical_seo,LOW,robots_meta_exists,False,True,Vérifier la directive robots,Vérifier les directives robots et s'assurer qu'elles n'empêchent pas l'indexation attendue.,Aucune balise meta robots n'a été détectée.
https://www.arret-net.fr/,www.arret-net.fr,AVERAGE,images,MEDIUM,images_without_alt,1.0,= 0,Corriger les images sans ALT,Identifier les images importantes sans attribut ALT et leur ajouter un texte alternatif pertinent.,1 image(s) sans ALT ont été détectées.
https://www.arret-net.fr/,www.arret-net.fr,AVERAGE,internal_linking,MEDIUM,internal_link_ratio,0.604,>= 0.70,Renforcer le maillage interne,Ajouter des liens internes contextuels entre les pages importantes et les contenus complémentaires.,Le ratio de liens internes est d'environ 60.4%.
https://www.lageneraledetheatre.com/,www.lageneraledetheatre.com,POOR,technical_seo,MEDIUM,title_length,22.0,>= 30,Enrichir le title,Rendre le title plus descriptif en intégrant l'intention ou le sujet principal de la page.,"Le title contient environ 22 caractères, ce qui est court pour décrire précisément la page."
https://www.lageneraledetheatre.com/,www.lageneraledetheatre.com,POOR,technical_seo,LOW,robots_meta_exists,False,True,Vérifier la directive robots,Vérifier les directives robots et s'assurer qu'elles n'empêchent pas l'indexation attendue.,Aucune balise meta robots n'a été détectée.
https://www.lageneraledetheatre.com/,www.lageneraledetheatre.com,POOR,content,MEDIUM,word_count,220.0,>= 500,Enrichir le contenu,"Enrichir les pages stratégiques avec du contenu utile, spécifique à l'intention de recherche et non redondant.","La page contient environ 220 mots. Le volume seul ne détermine pas la qualité SEO, mais un contenu très court peut limiter la capacité à couvrir le sujet."
https://www.lageneraledetheatre.com/,www.lageneraledetheatre.com,POOR,images,MEDIUM,alt_coverage_ratio,0.467,>= 0.70,Améliorer les attributs ALT,Ajouter des attributs ALT descriptifs aux images pertinentes et éviter les ALT vides lorsqu'ils ne sont pas justifiés.,La couverture ALT est d'environ 46.7%.
https://l-artisanat-a-la-francaise.fr/,l-artisanat-a-la-francaise.fr,GOOD,images,MEDIUM,alt_coverage_ratio,0.677,>= 0.70,Améliorer les attributs ALT,Ajouter des attributs ALT descriptifs aux images pertinentes et éviter les ALT vides lorsqu'ils ne sont pas justifiés.,La couverture ALT est d'environ 67.7%.
https://l-artisanat-a-la-francaise.fr/,l-artisanat-a-la-francaise.fr,GOOD,images,MEDIUM,images_without_alt,2.0,= 0,Corriger les images sans ALT,Identifier les images importantes sans attribut ALT et leur ajouter un texte alternatif pertinent.,2 image(s) sans ALT ont été détectées.
https://l-artisanat-a-la-francaise.fr/,l-artisanat-a-la-francaise.fr,GOOD,conversion,LOW,"phone_count,email_count","{'phone_count': 0.0, 'email_count': 0.0}",phone >= 1 OR email >= 1,Faciliter le contact,Rendre au moins un moyen de contact identifiable sur les pages où cela est pertinent.,Aucun numéro de téléphone ni adresse email détectable n'a été trouvé.
https://www.abondance.com/,www.abondance.com,GOOD,content,HIGH,h1_count,0.0,>= 1,Ajouter un H1,Ajouter un titre H1 clair correspondant au sujet principal de la page.,Aucun H1 n'a été détecté.
https://www.abondance.com/,www.abondance.com,GOOD,conversion,LOW,"phone_count,email_count","{'phone_count': 0.0, 'email_count': 0.0}",phone >= 1 OR email >= 1,Faciliter le contact,Rendre au moins un moyen de contact identifiable sur les pages où cela est pertinent.,Aucun numéro de téléphone ni adresse email détectable n'a été trouvé.
